nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0004916	Conchata Ferrell	1943	2020	actress,soundtrack	tt0195685,tt0095690,tt0099487,tt0369179
nm0004917	Kim Fields	1969	\N	actress,director,producer	tt0106056,tt0078610,tt1586265,tt0077053
nm0004918	Danielle Fishel	1981	\N	actress,producer,director	tt0105958,tt2591692,tt0362511,tt2543796
nm0004919	Denielle Fisher Johnson	\N	\N	actress	tt2776704,tt5563324,tt0106123,tt1723121
nm0004920	Frances Fisher	1952	\N	actress,camera_department	tt1189340,tt0120338,tt0105695,tt9866072
nm0004921	Joely Fisher	1967	\N	actress,director,producer	tt0141369,tt0110475,tt4494094,tt0108761
nm0004922	Schuyler Fisk	1982	\N	soundtrack,actress	tt1972779,tt0184907,tt0273923,tt1498569
nm0004923	Vitamin C	1972	\N	soundtrack,music_department,actress	tt0095270,tt0202470,tt0219653,tt0102510
nm0004924	Michael Flatley	1958	\N	actor,producer,director	tt0157262,tt0208140,tt1792584,tt8246646
nm0004925	Jennifer Flavin	1968	\N	actress	tt5779130,tt0096532,tt0100507,tt0139053
nm0004926	Heidi Fleiss	1965	\N	actress,producer	tt0384803,tt0435363,tt0284674,tt0112887
nm0004927	Beau Flynn	1970	\N	producer,miscellaneous,executive	tt2126355,tt0180093,tt2231461,tt1397514
nm0004928	John Fogerty	1945	\N	soundtrack,music_department,actor	tt0098206,tt0107076,tt1440129,tt1386697
nm0004929	Dave Foley	1963	\N	actor,writer,producer	tt0096626,tt0120623,tt0120536,tt0124298
nm0004930	Scott Foley	1972	\N	actor,producer,director	tt0134247,tt0460690,tt1837576,tt0134084
nm0004931	June Foray	1917	2017	actress,miscellaneous,soundtrack	tt0120762,tt0096438,tt0099472,tt0318155
nm0004932	Betty Ford	1918	2011	actress,writer	tt0103477,tt0092642,tt0081856,tt0065314
nm0004933	Faith Ford	1964	\N	actress,producer,soundtrack	tt0395699,tt0094514,tt0158743,tt0366025
nm0004934	Gerald Ford	1913	2006	actor	tt0081856,tt0271895,tt0484340,tt1734573
nm0004935	Ian Ford	\N	\N	actor	tt0486011,tt0082291,tt2554714
nm0004936	Ben Foster	1980	\N	actor,director,writer	tt0381849,tt3892172,tt0790712,tt2582782
nm0004937	Jamie Foxx	1967	\N	actor,producer,writer	tt0369339,tt0350258,tt1853728,tt0443489
nm0004938	Kirk Franklin	1970	\N	soundtrack,actor,composer	tt4846340,tt0146838,tt0477051,tt0116126
nm0004939	Joe Frazier	1944	2011	actor,soundtrack	tt9459336,tt0372799,tt0093088,tt0075148
nm0004940	Glenn Frey	1948	2016	soundtrack,actor,composer	tt0116695,tt0186566,tt0190865,tt0298845
nm0004941	Soleil Moon Frye	1976	\N	actress,producer,soundtrack	tt0144289,tt0086787,tt0110913,tt0115341
nm0004942	Daisy Fuentes	1966	\N	actress	tt0085049,tt0115994,tt0252781,tt0111996
nm0004943	Warren G	1970	\N	soundtrack,actor,composer	tt2294677,tt0208003,tt0112442,tt0109035
nm0004944	Michael Galeota	1984	2016	actor	tt0211816,tt0118264,tt0112602,tt0115916
nm0004945	Garbage	\N	\N	soundtrack,composer,actor	tt0133751,tt0117509,tt1403981,tt0143145
nm0004946	Randy Gardner	1957	\N	actor,miscellaneous,writer	tt0078622,tt1230433,tt8499814,tt0206184
nm0004947	Jennifer Gareis	1970	\N	actress	tt0119951,tt0265198,tt0216216,tt0212346
nm0004948	Priscilla Garita	1968	\N	actress	tt2249007,tt3527972,tt3502248,tt3239154
nm0004949	Troy Garity	1973	\N	actor,producer,miscellaneous	tt3628584,tt0324013,tt2891574,tt1833285
nm0004950	Jennifer Garner	1972	\N	actress,producer,soundtrack	tt0467406,tt0337563,tt0287978,tt0285333
nm0004951	Brad Garrett	1960	\N	actor,producer,music_department	tt0112642,tt0398286,tt4575576,tt0115167
nm0004952	Cynthia Garrett	1964	\N	actress,producer	tt0948534,tt0820001,tt11876878,tt0423370
nm0004953	Steve Garvey	1948	\N	actor	tt0113376,tt0077008,tt0096542,tt0418131
nm0004954	Boy George	1961	\N	soundtrack,actor,composer	tt0116282,tt0104036,tt1228987,tt0319262
nm0004955	Galen Gering	1971	\N	actor	tt0058796,tt0192917,tt1695746,tt0362867
nm0004956	Anna Getty	1972	\N	actress,producer,camera_department	tt0119548,tt3561536,tt0340147,tt0120619
nm0004957	Leeza Gibbons	1957	\N	producer,actress	tt0364782,tt1898066,tt0081857,tt0205656
nm0004958	Marla Gibbs	1931	\N	actress,miscellaneous,soundtrack	tt0072519,tt0199129,tt0103488,tt0088470
nm0004959	Thomas Gibson	1962	\N	actor,director,writer	tt0118303,tt0104231,tt0452046,tt0108724
nm0004960	Sara Gilbert	1975	\N	producer,actress,miscellaneous	tt0100711,tt0094540,tt0200027,tt0105156
nm0004961	Vince Gill	1957	\N	soundtrack,actor,music_department	tt0107211,tt0110478,tt0104438,tt0443453
nm0004962	Bill Gilman	1971	\N	visual_effects,director,writer	tt1856101,tt0114898,tt0796366,tt1483013
nm0004963	Peri Gilpin	1961	\N	actress,producer,soundtrack	tt0106004,tt1332030,tt3514324,tt0173840
nm0004964	Dale Godboldo	1975	\N	actor,producer,executive	tt0800369,tt2788432,tt0096641,tt2077823
nm0004965	Adam Goldberg	1970	\N	actor,producer,writer	tt0268978,tt0114194,tt0106677,tt0120815
nm0004966	Bill Goldberg	1966	\N	actor,animation_department,producer	tt0393685,tt5451690,tt0398165,tt0176269
nm0004967	Ricky Paull Goldin	1965	\N	actor,producer,director	tt1568343,tt0090390,tt0069658,tt2357547
nm0004968	Jaime Gomez	1965	\N	actor,producer,writer	tt0112740,tt0139654,tt0115285,tt0109444
nm0004969	Jill Goodacre	1964	\N	actress,director	tt0103382,tt0087829,tt0108778,tt0239028
nm0004971	Mark-Paul Gosselaar	1974	\N	actor,soundtrack,producer	tt0106079,tt1600199,tt5500158,tt1074206
nm0004972	Samaria Graham	1967	\N	actress	tt0101050,tt0119807,tt0177991,tt0202179
nm0004973	Amy Grant	1960	\N	soundtrack,actress,composer	tt0119925,tt0110478,tt0366551,tt0356910
nm0004974	Johnny Grant	1923	2008	actor,producer,director	tt0043791,tt0329717,tt0049683,tt0241481
nm0004975	Macy Gray	1967	\N	soundtrack,actress,composer	tt1496422,tt0139654,tt0421054,tt0453467
nm0004976	Brian Grazer	1951	\N	producer,actor,writer	tt0088161,tt0112384,tt0268978,tt0367279
nm0004977	Brian Austin Green	1973	\N	actor,producer,soundtrack	tt0098749,tt0366517,tt0078638,tt0851851
nm0004978	Adrian Grenier	1976	\N	actor,producer,director	tt1674771,tt0164114,tt0458352,tt0387199
nm0004979	David Alan Grier	1956	\N	actor,writer,producer	tt0375568,tt4718770,tt0113497,tt0098830
nm0004980	Kathy Griffin	1960	\N	actress,writer,producer	tt0327643,tt0115798,tt0480687,tt0115376
nm0004981	Matt Groening	1954	\N	writer,producer,animation_department	tt0149460,tt0096697,tt6157320,tt0462538
nm0004982	Jasmine Guy	1962	\N	actress,writer,soundtrack	tt0097481
nm0004983	Buddy Hackett	1924	2003	actor,soundtrack,writer	tt0056262,tt0057193,tt0064603,tt0097757
nm0004984	Deidre Hall	1947	\N	actress,producer	tt1668079,tt0068067,tt0058796,tt0147762
nm0004985	Edd Hall	1958	\N	actor,miscellaneous,art_department	tt0103569,tt0092400,tt0106053,tt0991263
nm0004986	LisaGay Hamilton	1964	\N	actress,director,producer	tt0139668,tt0118437,tt0119396,tt0164184
nm0004987	Kirk Hammett	1962	\N	soundtrack,actor,composer	tt1596363,tt0326769,tt0302886,tt0120177
nm0004988	Colin Hanks	1977	\N	actor,director,producer	tt0273923,tt0852713,tt0360717,tt0880578
nm0004989	Alyson Hannigan	1974	\N	actress,soundtrack,producer	tt0118276,tt1605630,tt0460649,tt0163651
nm0004990	Angie Harmon	1972	\N	actress,director	tt0313911,tt0111892,tt0098844,tt1551632
nm0004991	Hill Harper	1966	\N	actor,producer,writer	tt0124718,tt0395843,tt0192614,tt2388621
nm0004992	Andre Harrell	1960	2020	producer,actor,music_department	tt0322589,tt0108876,tt0102996,tt11447916
nm0004993	Desmond Harrington	1976	\N	actor	tt0773262,tt0242527,tt0288477,tt0295700
nm0004994	Emmylou Harris	1947	\N	soundtrack,actress,music_department	tt0093748,tt0190590,tt1212450,tt0388795
nm0004995	Mel Harris	1956	\N	actress,writer,director	tt0092492,tt0097637,tt0105217,tt0118480
nm0004996	Steve Harris	1965	\N	actor,producer	tt6133466,tt0422093,tt0118437,tt0117500
nm0004997	Melissa Joan Hart	1976	\N	actress,producer,director	tt0164114,tt0101065,tt0115341,tt4824308
nm0004998	Lisa Hartman	1956	\N	actress,music_department,soundtrack	tt0078638,tt0075590,tt0082245,tt0088395
nm0004999	Shawn Hatosy	1975	\N	actor,director,writer	tt0426883,tt0133751,tt5574490,tt1299368
nm0005000	Tony Hawk	1968	\N	actor,producer,stunts	tt0295701,tt0355702,tt1047540,tt0097438
nm0005001	Sophie B. Hawkins	1964	\N	soundtrack,actress,composer	tt0117104,tt0368479,tt0117102,tt0201479
nm0005002	Isaac Hayes	1942	2008	soundtrack,actor,music_department	tt0107977,tt0082340,tt0067741,tt0184858
nm0005003	Sean Hayes	1970	\N	actor,producer,soundtrack	tt0239395,tt0383010,tt0312528,tt0157246
nm0005004	Patricia Heaton	1958	\N	actress,producer,soundtrack	tt0103786,tt0117705,tt0115167,tt0104850
nm0005005	Hugh Hefner	1926	2017	producer,actor,soundtrack	tt0082517,tt0092644,tt1151922,tt1411704
nm0005006	Elaine Hendrix	1970	\N	actress,soundtrack,producer	tt0120032,tt3594982,tt6128300,tt0120783
nm0005007	Jill Hennessy	1968	\N	actress,soundtrack,director	tt0284718,tt0486946,tt0098844,tt0242445
nm0005008	Brian Henson	1963	\N	producer,actor,director	tt0104940,tt0089908,tt1308728,tt0091369
nm0005009	Laura Harring	1964	\N	actress	tt0484740,tt0330793,tt0166924
nm0005010	Lori Heuring	1973	\N	actress	tt1564367,tt0926129,tt0166924,tt0305224
nm0005011	Faith Hill	1967	\N	producer,soundtrack,actress	tt0110478,tt0213149,tt0120791,tt0327162
nm0005012	Lauryn Hill	1975	\N	soundtrack,actress,composer	tt0118883,tt0108147,tt1292566,tt6668286
nm0005013	Iben Hjejle	1971	\N	actress,writer	tt0146882,tt1034303,tt0164756,tt0282768
nm0005014	David Hockney	1937	\N	actor,art_department,production_designer	tt0139011,tt0159876,tt0089343,tt0337741
nm0005015	Susanna Hoffs	1959	\N	soundtrack,actress,composer	tt0118655,tt0295178,tt0103893,tt0145660
nm0005016	Alexandra Holden	1977	\N	actress	tt0308152,tt0302640,tt2294677,tt0157503
nm0005017	Katie Holmes	1978	\N	actress,producer,soundtrack	tt0134619,tt0118300,tt0810913,tt0372784
nm0005018	Evander Holyfield	1962	\N	actor,producer	tt1661382,tt1334512,tt0162677,tt0099153
nm0005019	Bo Hopkins	1942	\N	actor,producer	tt0077928,tt0069704,tt0068638,tt0065214
nm0005020	Josh Hopkins	1970	\N	actor,soundtrack,director	tt0177971,tt3829920,tt0119173,tt0321021
nm0005021	Kaitlin Hopkins	1964	\N	actress,producer,soundtrack	tt0119822,tt1093908,tt0231402,tt0489237
nm0005022	Peter Horton	1953	\N	actor,producer,director	tt3551796,tt0092492,tt7817340,tt0413573
nm0005023	Djimon Hounsou	1964	\N	actor,producer,director	tt0298845,tt0450259,tt2015381,tt0118607
nm0005024	Terrence Howard	1969	\N	actor,soundtrack,producer	tt0430105,tt0410097,tt0375679,tt0371746
nm0005025	Traylor Howard	1966	\N	actress,soundtrack	tt0362165,tt0183505,tt0312172,tt0120654
nm0005026	Kelly Hu	1968	\N	actress,soundtrack	tt0277296,tt0290334,tt0097388,tt0471041
nm0005027	Liza Huber	1975	\N	actress	tt0284787,tt0081857,tt0426850,tt0192917
nm0005028	Kate Hudson	1979	\N	actress,soundtrack,producer	tt0251127,tt0901476,tt0770752,tt0181875
nm0005029	Oliver Hudson	1976	\N	actor,producer,soundtrack	tt0116253,tt2463288,tt0263386,tt0454082
nm0005030	Jon Huertas	1969	\N	actor,producer,writer	tt1219024,tt6071092,tt5555260,tt0995832
nm0005031	Felicity Huffman	1962	\N	actress,director,producer	tt0165961,tt0410975,tt2088003,tt0407265
nm0005032	Suzan Hughes	\N	\N	actress,producer,writer	tt0097876,tt4878970,tt0123072,tt0116778
nm0005033	Sammo Kam-Bo Hung	1952	\N	actor,stunts,producer	tt0085211,tt1220719,tt1386932,tt0163949
nm0005034	Amy Hunter	1966	\N	actress,producer,miscellaneous	tt0431197,tt0247087,tt0937375,tt0277296
nm0005035	Rachel Hunter	1969	\N	actress,producer	tt0437863,tt1886644,tt0202470,tt0800183
nm0005036	Gale Anne Hurd	1955	\N	producer,writer,miscellaneous	tt1340138,tt0090605,tt0120591,tt0088247
nm0005037	James Hyde	1962	\N	actor,producer,writer	tt9730822,tt8655736,tt10953370,tt0192917
nm0005038	Chrissie Hynde	1951	\N	soundtrack,music_department,actress	tt0366548,tt0093428,tt0382992,tt0780536
nm0005039	Julio Iglesias Jr.	1973	\N	soundtrack,actor	tt1371903,tt0166943,tt1387231,tt2078446
nm0005040	Enrique Iglesias	1975	\N	soundtrack,composer,actor	tt0120891,tt0119141,tt1231587,tt0285823
nm0005041	Laura Innes	1957	\N	actress,director,writer	tt0120647,tt0108757,tt1582459,tt1839683
nm0005042	Jason Isaacs	1963	\N	actor,producer,miscellaneous	tt0295297,tt0316396,tt0265086,tt0187393
nm0005043	Ray J	1981	\N	actor,producer,writer	tt0117603,tt0186804,tt0356233,tt0116996
nm0005044	Jonathan Jackson	1982	\N	actor,soundtrack,director	tt0338096,tt0283084,tt0056758,tt0120646
nm0005045	Joshua Jackson	1978	\N	actor,director,producer	tt0118300,tt0109520,tt2699110,tt1119644
nm0005046	Shar Jackson	1976	\N	actress,producer	tt0119215,tt0108872,tt0115275,tt0199725
nm0005047	Jimmy Jam	1959	\N	soundtrack,composer,music_department	tt0113845,tt0104897,tt0144528,tt0120794
nm0005048	Thomas Jane	1969	\N	actor,producer,director	tt0884328,tt0120863,tt0118749,tt0149261
nm0005049	Allison Janney	1959	\N	actress,soundtrack	tt1454029,tt0427327,tt0274558,tt0467406
nm0005050	Justin Jeffre	1973	\N	actor,soundtrack	tt0184907,tt0048845,tt11881908,tt11881854
nm0005051	Dominique Jennings	1965	\N	actress	tt0099423,tt0114369,tt0118475,tt0118484
nm0005052	Michael Jeter	1952	2003	actor,soundtrack,director	tt0120689,tt0316356,tt0098790,tt0163025
nm0005053	Joan Jett	1958	\N	soundtrack,actress,music_department	tt0114614,tt2015381,tt1677720,tt0093415
nm0005054	Gladise Jiminez	\N	\N	actress,producer	tt0327375,tt0437171,tt0092325,tt0108495
nm0005055	Billy Joel	1949	\N	soundtrack,actor,composer	tt0095776,tt2704998,tt0104694,tt5727208
nm0005056	Elton John	1947	\N	soundtrack,actor,composer	tt2066051,tt0138749,tt0110357,tt4649466
nm0005057	Amy Jo Johnson	1970	\N	actress,soundtrack,director	tt1059475,tt0134247,tt9386648,tt0113820
nm0005058	Kirsten Johnson	\N	\N	actress,director,producer	tt0109705,tt0156729,tt5535796,tt0120907
nm0005059	Magic Johnson	1959	\N	actor,producer,soundtrack	tt1198138,tt0462160,tt0382561,tt0297037
nm0005060	Kristen Johnston	1967	\N	actress,soundtrack	tt0758766,tt0115082,tt0145660,tt0158622
nm0005061	Quincy Jones III	1968	\N	composer,music_department,producer	tt0107554,tt0098800,tt0139654,tt0151804
nm0005062	Chuck Jones	1912	2002	animation_department,director,writer	tt0078915,tt0093260,tt0059122,tt0087363
nm0005063	Grace Jones	1948	\N	soundtrack,actress,composer	tt0103859,tt0090264,tt0118661,tt0087078
nm0005064	January Jones	1978	\N	actress,soundtrack	tt1270798,tt0338096,tt1401152,tt0804503
nm0005065	Quincy Jones	1933	\N	music_department,producer,soundtrack	tt0061811,tt1877832,tt0068638,tt0088939
nm0005066	Spike Jones	1911	1965	actor,soundtrack,composer	tt0211286,tt0046980,tt0110099,tt0485947
nm0005067	Tamala Jones	1974	\N	actress,producer,soundtrack	tt1219024,tt0118750,tt0127723,tt0181316
nm0005068	Vinnie Jones	1965	\N	actor,soundtrack,producer	tt0805570,tt0120735,tt0208092,tt0376994
nm0005069	Spike Jonze	1969	\N	producer,director,writer	tt0120601,tt0120188,tt1798709,tt0386117
nm0005070	Montell Jordan	1968	\N	soundtrack,actor,composer	tt2461150,tt0117108,tt1596350,tt2719848
nm0005071	Al Joyner	1960	\N	actor,producer	tt0117527,tt0396992,tt14781284,tt0107985
nm0005072	Naomi Judd	1946	\N	actress,soundtrack,producer	tt0244970,tt13050278,tt3052440,tt2505818
nm0005073	Kato Kaelin	1959	\N	actor,casting_department,producer	tt0131857,tt0284674,tt0108495,tt3219618
nm0005074	Melina Kanakaredes	1967	\N	actress,writer,director	tt0179626,tt0882977,tt0177991,tt0395843
nm0005075	Sabine Karsenti	\N	\N	actress	tt0185183,tt0190577,tt0114448,tt0166425
nm0005076	Jeffrey Katzenberg	1950	\N	producer,writer,actor	tt0120794,tt0138749,tt0166813,tt0126029
nm0005077	James Keach	1947	\N	actor,director,producer	tt0081071,tt1296898,tt0085995,tt0358273
nm0005078	Stacy Keach	1941	\N	actor,producer,director	tt1821549,tt0078446,tt0116225,tt1194173
nm0005079	Josh Keaton	1979	\N	actor,music_department,soundtrack	tt0365498,tt0316655,tt5580664,tt0119282
nm0005080	Andrew Keegan	1979	\N	actor,producer	tt0116629,tt0109369,tt0222850,tt0147800
nm0005081	Mary Page Keller	1961	\N	actress,writer,producer	tt0112022,tt1532503,tt0120768,tt0460681
nm0005082	David E. Kelley	1956	\N	writer,producer,miscellaneous	tt0118254,tt3920596,tt0090466,tt0118437
nm0005083	David Kelley	\N	\N	assistant_director,miscellaneous	tt0948470,tt0106977,tt0133152,tt0149261
nm0005084	R. Kelly	1967	\N	soundtrack,composer,director	tt1042567,tt0117705,tt0491587,tt0123964
nm0005085	Jamie Kennedy	1970	\N	actor,writer,producer	tt0328099,tt0120082,tt0362165,tt0117509
nm0005086	Kathleen Kennedy	1953	\N	producer,miscellaneous,actress	tt0286106,tt1568911,tt0421715,tt0107290
nm0005087	Leila Kenzle	1960	\N	actress	tt0103484,tt0283139,tt0309698,tt0302640
nm0005088	Joanna Kerns	1953	\N	actress,director,soundtrack	tt0088527,tt0117882,tt0478311,tt0172493
nm0005089	Boyd Kestner	1964	\N	actor,writer,producer	tt0093894,tt0119173,tt0144214,tt0212985
nm0005090	Nerine Kidd	1959	1999	actress	tt0215446,tt0202245
nm0005091	Don King	1931	\N	actor,producer,soundtrack	tt0086759,tt0118971,tt0091183,tt0083437
nm0005092	Larry King	1933	2021	producer,actor,director	tt0389790,tt0120660,tt0298148,tt0087332
nm0005093	Regina King	1971	\N	actress,director,producer	tt0356470,tt0350258,tt0385307,tt7125860
